"Schema","Procedure","FullName","Category","Wave","Strategy","HasWriteOps","HasTransaction","HasCursor","HasDynamicSql","HasCrypto"
"ale","AlegacionesByPlanFormacion_S","ale.AlegacionesByPlanFormacion_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"ale","AlegacionesPlanformacionAviso_S","ale.AlegacionesPlanformacionAviso_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"ale","EstadosAlegaciones_S","ale.EstadosAlegaciones_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"ale","ExpedienteAprobadoRevision_S","ale.ExpedienteAprobadoRevision_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"ale","PlanesFormacionPoralegacionDetalle_S","ale.PlanesFormacionPoralegacionDetalle_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"ale","PlanesFormacionPoralegacionFiltro_S","ale.PlanesFormacionPoralegacionFiltro_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"anu","UP_S_ACCIONES_ANULACION","anu.UP_S_ACCIONES_ANULACION","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"anu","UP_S_ACCIONES_ANULACION_FILTRO","anu.UP_S_ACCIONES_ANULACION_FILTRO","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"anu","UP_S_PLANFORM_ANULACIONES","anu.UP_S_PLANFORM_ANULACIONES","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"anu","UP_S_PLANFORMACION_CONVOCATORIA","anu.UP_S_PLANFORMACION_CONVOCATORIA","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AAFF_S","bi.AAFF_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AAFFExperiencia_S","bi.AAFFExperiencia_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionesFormativas_S","bi.AccionesFormativas_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionesFormativasAmpliacionPlazo_S","bi.AccionesFormativasAmpliacionPlazo_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionesFormativasCentrosModificadosReformulacion_S","bi.AccionesFormativasCentrosModificadosReformulacion_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionesFormativasCentrosReformulacion_S","bi.AccionesFormativasCentrosReformulacion_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionesFormativasCentrosReformulados_S","bi.AccionesFormativasCentrosReformulados_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionesFormativasCentrosReformuladosErte_S","bi.AccionesFormativasCentrosReformuladosErte_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionesFormativasLicitaciones_S","bi.AccionesFormativasLicitaciones_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionesFormativasModificadasReformulacion_S","bi.AccionesFormativasModificadasReformulacion_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionesFormativasPlanFormacion_S","bi.AccionesFormativasPlanFormacion_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionesFormativasPlanFormacionInfo_S","bi.AccionesFormativasPlanFormacionInfo_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionesFormativasReformulacion_S","bi.AccionesFormativasReformulacion_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionesFormativasSubcontratadasConceptos_S","bi.AccionesFormativasSubcontratadasConceptos_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionesFormatvasCCT_S","bi.AccionesFormatvasCCT_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AccionFormativaTeleformacionVT_S","bi.AccionFormativaTeleformacionVT_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","ActividadCertificadaXML_S","bi.ActividadCertificadaXML_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","Agrupacion_S","bi.Agrupacion_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AgrupacionAmbito","bi.AgrupacionAmbito","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AgrupacionDatosPropuesta","bi.AgrupacionDatosPropuesta","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AgrupacionDatosPropuestaMCR_S","bi.AgrupacionDatosPropuestaMCR_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AgrupacionDatosPropuestaMCRP_S","bi.AgrupacionDatosPropuestaMCRP_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","Agrupaciones_S","bi.Agrupaciones_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AgrupacionesDatosNotExp_S","bi.AgrupacionesDatosNotExp_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AgrupacionesRepresentatividad_S","bi.AgrupacionesRepresentatividad_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AgrupacionExpedientesAprobados","bi.AgrupacionExpedientesAprobados","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
"bi","AgrupacionExpedientesAprobadosMCR_S","bi.AgrupacionExpedientesAprobadosMCR_S","CRUD","Wave-1","Dapper-Query","False","False","False","False","False"
